1002	wdh	22	1	137219293	8232278	123456	1	98	97	87	88	98	763
1003	sew	22	1	137219293	8232278	123456	2	90	87	87	88	98	523
1004	wu	22	1	137219293	8232278	123456	1	90	87	87	88	98	545
1008	st	22	1	137219293	8232278	123456	1	90	87	87	88	98	346
1009	wzx	22	1	137219293	8232278	123456	4	87	87	87	88	98	762
1010	wu	22	1	137219293	8232278	123456	3	90	87	87	88	98	564
1011	wnm	22	1	137219293	8232278	123456	2	90	87	87	88	98	542
1012	ce	22	1	137219293	8232278	123456	1	90	87	87	88	98	621
1013	wu	22	1	137219293	8232278	123456	1	90	87	87	88	98	634
1014	hu	22	1	137219293	8232278	123456	3	90	87	87	88	98	583
1015	nm	22	1	137219293	8232278	123456	2	90	87	87	88	98	563
1015	wwx	22	1	137219293	8232278	123456	2	90	87	87	88	98	562
1015	id	22	1	137219293	8232278	123456	3	90	87	87	88	98	599
1015	uu	22	1	137219293	8232278	123456	3	90	87	87	88	98	553
1016	wew	22	1	137219293	8232278	123456	2	90	87	87	88	98	918
1017	ez	22	1	137219293	8232278	123456	3	90	87	87	88	98	783
1019	zet	22	1	137219293	8232278	123456	1	90	87	87	88	98	736
1020	wc	22	1	137219293	8232278	123456	1	90	83	87	88	98	598
1021	ad	22	1	137219293	8232278	123456	3	90	87	87	88	98	587
1024	wo	27	1	13745678	456782	1123456789	3	90	87	87	88	98	599
1026	wr	22	1	137219293	8232278	123456	1	90	87	87	88	98	563
